ime,procesor,ram,ssd,zaslon,graficna,operacijski_sistem,cena,url
Laptop HP Dragonfly G4,Intel i7-1355U,16 GB,1 TB,"13.5""",,Win 11 Pro,"1.299,00 €",https://refurb.si/product/laptop-hp-dragonfly-g4-135-touchscreen-intel-i7-1355u-16-gb-ram-1-tb-ssd-win-11-pro/?lang=en
Laptop Lenovo ThinkPad X1 Carbon G10,Intel i7-1260P,16 GB,512 GB,"14""",,Win 10 Pro,"1.499,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-x1-carbon-g10-14-intel-i7-1260p-16-gb-ram-512-gb-ssd-win-10-pro/?lang=en
Prenosnik HP ZBook Fury 17 G7,Intel i7-10850H,32 GB,512 GB,"17.3""",RTX 4000,Win 11 Pro,"1.299,00 €",https://refurb.si/product/prenosnik-hp-zbook-fury-17-g7-173%e2%80%b3-ips-intel-i7-10850h-32-gb-ram-512-gb-ssd-rtx-4000-win-11-pro/?lang=en
Laptop Lenovo ThinkPad X1 Extreme G4,Intel i7-11800H,32 GB,512 GB,"16""",RTX 3050,Win 11 Pro,"1.599,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-x1-extreme-g4-16-ips-intel-i7-11800h-32-gb-ram-512-gb-ssd-rtx-3050-ti-win-11-pro/?lang=en
Laptop Lenovo ThinkPad X1 Extreme G4,Intel i7-11800H,64 GB,512 GB,"16""",RTX 3050,Win 11 Pro,"1.799,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-x1-extreme-g4-16-ips-intel-i7-11800h-64-gb-ram-512-gb-ssd-rtx-3050-ti-win-11-pro/?lang=en
Laptop Lenovo ThinkPad X1 Yoga G5,Intel i7-10510U,16 GB,512 GB,"14""",,Win 11 Pro,"999,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-x1-yoga-g5-14-intel-i7-10510u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop Dell Latitude 9430,Intel i7-1265U,32 GB,512 GB,"14""",,Win 11 Pro,"1.059,00 €",https://refurb.si/product/laptop-dell-latitude-9430-14-ips-touchscreen-intel-i7-1265u-32-gb-ram-512-gb-ssd-win-11-pro-2/?lang=en
Laptop Dell Precision 7560,Intel i7-11850H,32 GB,512 GB,"15.6""",Quadro T1200,Win 10 Pro,"1.299,00 €",https://refurb.si/product/laptop-dell-precision-7560-15-6-intel-i7-11850h-32-gb-ram-quadro-t1200-512-gb-ssd-win-10-pro/?lang=en
Laptop Dell Precision 7550,Intel i7-10850H,32 GB,512 GB,"15.6""",Quadro T2000,Win 11 Pro,"1.399,00 €",https://refurb.si/product/laptop-dell-precision-7550-15-6-intel-i7-10850h-32-gb-ram-512-gb-ssd-quadro-t2000-win-11-pro/?lang=en
Dell Precision 7540,Intel i7-9850H,16 GB,512 GB,"15.6""",Quadro T2000,Win 10 Pro,"999,00 €",https://refurb.si/product/dell-precision-7540-15-6-intel-i7-9850h-16-gb-ram-512-gb-ssd-quadro-t2000-win-10-pro-kopija/?lang=en
Laptop Dell Latitude 9430,Intel i7-1265U,16 GB,512 GB,"14""",,Win 11 Pro,"849,00 €",https://refurb.si/product/laptop-dell-latitude-9430-14-ips-intel-i7-1265u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop HP ZBook Fury 15 G8,Intel i7-11800H,32 GB,512 GB,"15.6""",Quadro T1200,Win 11 Pro,"1.199,00 €",https://refurb.si/product/laptop-hp-zbook-fury-15-g8-15-6-ips-intel-i7-11800h-32-gb-ram-512-gb-ssd-quadro-t1200-win-11-pro/?lang=en
Laptop Dell Precision 7750,Intel i7-10750H,64 GB,512 GB,"17.3""",RTX 4000,Win 11 Pro,"1.499,00 €",https://refurb.si/product/laptop-dell-precision-7750-173-intel-i7-10750h-64-gb-ram-512-gb-ssd-rtx-4000-win-11-pro/?lang=en
Laptop Dell Precision 7740,Intel i7-9850H,32 GB,512 GB,"17.3""",Quadro RTX,Win 11 Pro,"1.299,00 €",https://refurb.si/product/laptop-dell-precision-7740-173-ips-intel-i7-9850h-32-gb-ram-512-gb-ssd-quadro-rtx-4000-win-11-pro/?lang=en
